Name,Long,Lat,Area,EPC,std_EPC,TYPE,Population,Admin
笛子山,112.7317,23.647788,13058.34497,50944.07842,-0.057563289,村庄,151,红星村
洲湾,112.7317,23.647788,13682.19916,14169.87612,-0.352896892,村庄,42,红星村
坑口,112.7317,23.647788,6335.412735,19230.54616,-0.312254653,村庄,57,红星村
桐油崀,112.7317,23.647788,15159.6339,54992.61445,-0.025049498,村庄,163,黄洞村
,112.7317,23.647788,734.193195,0,-0.466695161,风景名胜及特殊用地,0,红星村
桐油崀,112.7317,23.647788,5900.521282,7084.938058,-0.409796026,村庄,21,黄洞村
前进（上）,112.7317,23.647788,18251.47932,47232.92039,-0.087367598,村庄,140,红星村
前进（下）,112.7317,23.647788,20981.88524,54992.61445,-0.025049498,村庄,163,红星村
思该下（上）,112.7317,23.647788,15409.40413,19567.92416,-0.30954517,村庄,58,红星村
冯村,112.7317,23.647788,4435.409665,9109.206075,-0.393539131,村庄,27,红星村
朱村,112.7317,23.647788,10429.1825,29689.26424,-0.228260693,村庄,88,红星村
思该下（下）,112.7317,23.647788,2964.285281,15856.76613,-0.339349479,村庄,47,红星村
村委会,112.7317,23.647788,2077.494628,0,-0.466695161,村庄,0,红星村
谢屋,112.7317,23.647788,37944.62693,92778.95076,0.278412553,村庄,275,黄洞村
坑尾,112.7317,23.647788,3102.054222,42847.00635,-0.122590871,村庄,127,红星村
酋崀,112.7317,23.647788,14970.61795,67138.22255,0.072491876,村庄,199,黄洞村
上蕉坪,112.7317,23.647788,5829.319852,6747.560056,-0.412505509,村庄,20,黄洞村
上蕉坪,112.7317,23.647788,1490.973008,6410.182053,-0.415214992,村庄,19,黄洞村
上蕉坪,112.7317,23.647788,4617.139892,7422.316061,-0.407086544,村庄,22,黄洞村
下蕉坪,112.7317,23.647788,5702.615412,14507.25412,-0.350187409,村庄,43,黄洞村
旱印,112.7317,23.647788,2399.097486,16194.14413,-0.336639996,村庄,48,红星村
学校,112.7317,23.647788,7223.925276,0,-0.466695161,村庄,0,黄洞村
姓李村,112.7317,23.647788,4903.023822,0,-0.466695161,村庄,0,红星村
下王岗,112.7317,23.647788,13927.92918,27327.61823,-0.247227071,村庄,81,黄洞村
上王岗,112.7317,23.647788,11475.28368,18893.16816,-0.314964136,村庄,56,黄洞村
牛过沙,112.7317,23.647788,14815.43142,89067.79273,0.248608244,村庄,264,黄洞村
带角,112.7317,23.647788,1963.364535,17543.65614,-0.325802066,村庄,52,黄洞村
双桂坑,112.7317,23.647788,4352.297893,16194.14413,-0.336639996,村庄,48,黄洞村
鱼尾形,112.7317,23.647788,20004.35,18893.16816,-0.314964136,村庄,56,黄洞村
油榨下,112.7317,23.647788,4048.421192,8434.450069,-0.398958096,村庄,25,黄洞村
白芒坝,112.7317,23.647788,8654.86705,32050.91026,-0.209294314,村庄,95,黄洞村
大磅,112.7317,23.647788,4070.294068,15856.76613,-0.339349479,村庄,47,黄洞村
化工厂,112.7317,23.647788,2500.416568,0,-0.466695161,村庄,0,黄洞村
